iter	Passed	Remaining
663	26946	94799
664	26984	94750
665	27026	94714
666	27064	94663
667	27103	94619
668	27145	94582
669	27187	94547
670	27225	94497
671	27266	94458
672	27311	94433
673	27355	94406
674	27392	94353
675	27433	94311
676	27477	94282
677	27521	94254
678	27561	94211
679	27599	94162
680	27639	94121
681	27679	94076
682	27726	94059
683	27769	94025
684	27807	93978
685	27851	93948
686	27891	93904
687	27933	93868
688	27975	93833
689	28018	93800
690	28061	93767
691	28108	93748
692	28142	93686
693	28188	93662
694	28226	93615
695	28265	93567
696	28311	93544
697	28350	93501
698	28388	93449
699	28432	93419
700	28473	93382
701	28518	93354
702	28559	93315
703	28598	93270
704	28637	93223
705	28674	93173
706	28713	93126
707	28757	93096
708	28796	93049
709	28840	93020
710	28888	93003
711	28933	92978
712	28980	92956
713	29028	92939
714	29067	92894
715	29107	92849
716	29145	92801
717	29183	92754
718	29224	92712
719	29268	92682
720	29318	92671
721	29357	92625
722	29397	92583
723	29437	92540
724	29474	92490
725	29513	92443
726	29554	92404
727	29594	92360
728	29641	92338
729	29679	92291
730	29724	92263
731	29762	92216
732	29802	92173
733	29841	92127
734	29882	92085
735	29928	92063
736	29979	92052
737	30022	92020
738	30058	91965
739	30104	91939
740	30143	91895
741	30179	91839
742	30221	91802
743	30270	91789
744	30315	91761
745	30357	91723
746	30403	91699
747	30436	91636
748	30476	91590
749	30516	91550
750	30557	91509
751	30595	91462
752	30636	91420
753	30688	91414
754	30726	91365
755	30765	91319
756	30803	91272
757	30848	91243
758	30891	91208
759	30928	91158
760	30971	91124
761	31012	91084
762	31060	91064
763	31099	91018
764	31137	90969
765	31179	90934
766	31217	90885
767	31256	90838
768	31298	90801
769	31342	90770
770	31380	90721
771	31422	90685
772	31465	90650
773	31504	90607
774	31547	90572
775	31589	90536
776	31628	90488
777	31666	90440
778	31705	90394
779	31757	90386
780	31800	90352
781	31844	90321
782	31885	90280
783	31924	90236
784	31968	90204
785	32011	90168
786	32058	90146
787	32100	90110
788	32140	90067
789	32182	90030
790	32223	89988
791	32263	89945
792	32306	89913
793	32352	89885
794	32394	89848
795	32437	89814
796	32477	89772
797	32525	89751
798	32565	89706
799	32605	89663
800	32649	89632
801	32693	89602
802	32733	89557
803	32773	89516
804	32822	89496
805	32860	89449
806	32898	89401
807	32940	89363
808	32981	89322
809	33024	89288
810	33063	89243
811	33102	89197
812	33143	89157
813	33184	89117
814	33229	89088
815	33266	89037
816	33306	88993
817	33354	88972
818	33398	88941
819	33442	88907
820	33479	88858
821	33519	88814
822	33566	88790
823	33614	88768
824	33657	88732
825	33701	88699
826	33742	88660
827	33784	88622
828	33831	88598
829	33869	88550
830	33921	88538
831	33962	88498
832	34009	88473
833	34051	88434
834	34090	88389
835	34128	88340
836	34170	88304
837	34211	88263
838	34251	88221
839	34288	88171
840	34328	88126
841	34370	88090
842	34417	88064
843	34461	88032
844	34502	87992
845	34547	87961
846	34589	87922
847	34629	87881
848	34666	87831
849	34703	87780
850	34744	87739
851	34784	87695
852	34823	87650
853	34861	87602
854	34899	87555
855	34944	87523
856	34986	87485
857	35027	87446
858	35067	87402
859	35105	87356
860	35155	87338
861	35197	87300
862	35236	87254
863	35274	87205
864	35315	87165
865	35352	87114
866	35391	87070
867	35429	87022
868	35471	86983
869	35513	86946
870	35553	86902
871	35591	86856
872	35633	86817
873	35673	86774
874	35707	86717
875	35751	86684
876	35787	86633
877	35829	86595
878	35869	86553
879	35911	86514
880	35952	86474
881	35989	86422
882	36027	86375
883	36062	86320
884	36103	86282
885	36146	86246
886	36191	86215
887	36230	86170
888	36276	86140
889	36319	86106
890	36359	86062
891	36398	86018
892	36438	85974
893	36480	85936
894	36517	85887
895	36558	85846
896	36596	85799
897	36636	85757
898	36683	85730
899	36720	85681
900	36754	85624
901	36792	85577
902	36831	85533
903	36870	85488
904	36909	85443
905	36950	85402
906	36989	85357
907	37030	85316
908	37071	85277
909	37114	85240
910	37155	85200
911	37194	85156
912	37235	85116
913	37276	85074
914	37315	85030
915	37353	84982
916	37395	84945
917	37431	84893
918	37472	84852
919	37509	84803
920	37547	84757
921	37593	84728
922	37633	84686
923	37673	84643
924	37708	84589
925	37750	84551
926	37793	84515
927	37835	84478
928	37875	84435
929	37918	84398
930	37956	84353
931	37999	84316
932	38037	84269
933	38076	84225
934	38115	84179
935	38159	84145
936	38203	84112
937	38244	84071
938	38285	84032
939	38326	83991
940	38361	83937
941	38402	83899
942	38444	83859
943	38486	83822
944	38527	83781
945	38568	83742
946	38609	83702
947	38653	83668
948	38694	83628
949	38742	83601
950	38779	83552
951	38819	83510
952	38858	83465
953	38900	83428
954	38936	83377
955	38977	83337
956	39018	83297
957	39059	83255
958	39097	83209
959	39134	83160
960	39172	83114
961	39213	83074
962	39251	83027
963	39291	82985
964	39336	82953
965	39378	82915
966	39413	82862
967	39455	82823
968	39501	82794
969	39539	82747
970	39579	82705
971	39618	82661
972	39658	82619
973	39699	82577
974	39738	82532
975	39776	82487
976	39816	82445
977	39855	82400
978	39893	82353
979	39932	82309
980	39971	82265
981	40011	82224
982	40051	82181
983	40089	82134
984	40133	82100
985	40171	82054
986	40210	82008
987	40250	81967
988	40294	81933
989	40333	81889
990	40371	81841
991	40411	81800
992	40459	81773
993	40501	81736
994	40541	81693
995	40571	81632
996	40610	81588
997	40649	81542
998	40687	81497
999	40728	81457
1000	40764	81405
1001	40803	81363
1002	40839	81312
1003	40883	81278
1004	40926	81241
1005	40967	81202
1006	41006	81157
1007	41045	81114
1008	41097	81095
1009	41141	81060
1010	41179	81015
1011	41217	80967
1012	41256	80925
1013	41296	80881
1014	41335	80837
1015	41381	80808
1016	41421	80765
1017	41459	80719
1018	41500	80679
1019	41543	80644
1020	41588	80610
1021	41632	80575
1022	41678	80545
1023	41719	80504
1024	41764	80472
1025	41802	80427
1026	41844	80389
1027	41888	80354
1028	41930	80315
1029	41970	80274
1030	42008	80227
1031	42045	80179
1032	42086	80140
1033	42126	80096
1034	42168	80059
1035	42208	80017
1036	42249	79975
1037	42286	79928
1038	42325	79884
1039	42372	79856
1040	42414	79816
1041	42453	79773
1042	42493	79731
1043	42539	79700
1044	42577	79655
1045	42617	79613
1046	42656	79568
1047	42699	79531
1048	42741	79492
1049	42782	79452
1050	42826	79418
1051	42865	79375
1052	42907	79335
1053	42945	79290
1054	42990	79258
1055	43031	79216
1056	43081	79193
1057	43123	79154
1058	43162	79111
1059	43208	79079
1060	43252	79045
1061	43292	79002
1062	43331	78958
1063	43376	78925
1064	43415	78882
1065	43454	78838
1066	43496	78798
1067	43534	78753
1068	43576	78714
1069	43619	78678
1070	43660	78637
1071	43701	78598
1072	43743	78558
1073	43784	78518
1074	43827	78482
1075	43868	78442
1076	43911	78404
1077	43949	78359
1078	43991	78319
1079	44030	78275
1080	44068	78230
1081	44106	78184
1082	44145	78141
1083	44186	78100
1084	44228	78063
1085	44261	78007
1086	44307	77976
1087	44347	77933
1088	44389	77895
1089	44430	77856
1090	44471	77815
1091	44512	77774
1092	44552	77732
1093	44591	77688
1094	44637	77657
1095	44676	77613
1096	44715	77568
1097	44757	77530
1098	44796	77487
1099	44842	77455
1100	44885	77418
1101	44923	77372
1102	44963	77331
1103	45002	77287
1104	45046	77250
1105	45088	77212
1106	45128	77171
1107	45170	77132
1108	45212	77093
1109	45251	77049
1110	45289	77004
1111	45331	76965
1112	45371	76922
1113	45414	76887
1114	45466	76864
1115	45501	76814
1116	45538	76767
1117	45576	76722
1118	45620	76686
1119	45658	76641
1120	45704	76609
1121	45743	76565
1122	45780	76517
1123	45825	76483
1124	45876	76460
1125	45913	76414
1126	45952	76369
1127	45993	76328
1128	46031	76283
1129	46076	76250
1130	46115	76206
1131	46153	76161
1132	46193	76119
1133	46236	76081
1134	46276	76040
1135	46319	76003
1136	46364	75969
1137	46407	75932
1138	46446	75887
1139	46495	75860
1140	46534	75817
1141	46573	75773
1142	46618	75739
1143	46657	75696
1144	46697	75654
1145	46733	75605
1146	46771	75560
1147	46814	75522
1148	46859	75488
1149	46897	75443
1150	46937	75401
1151	46978	75361
1152	47015	75314
1153	47054	75270
1154	47095	75230
1155	47139	75195
1156	47175	75147
1157	47213	75100
1158	47254	75060
1159	47296	75021
1160	47336	74979
1161	47374	74934
1162	47412	74889
1163	47456	74854
1164	47494	74808
1165	47535	74767
1166	47575	74726
1167	47614	74683
1168	47661	74652
1169	47700	74609
1170	47743	74570
1171	47785	74531
1172	47826	74491
1173	47876	74465
1174	47918	74427
1175	47969	74401
1176	48010	74360
1177	48048	74315
1178	48086	74270
1179	48133	74239
1180	48176	74202
1181	48213	74156
1182	48245	74101
